0.047   0.529
0.062   0.602
0.078   0.681
0.109   0.774
0.124   0.847
0.124   0.897
0.140   0.973
0.186   1.050
0.217   1.126
0.264   1.196
0.310   1.279
0.372   1.345
0.403   1.388
0.450   1.418
0.481   1.458
0.543   1.491
0.574   1.515
0.667   1.531
0.744   1.518
0.837   1.501
0.884   1.481
0.977   1.448
1.054   1.408
1.147   1.368
1.209   1.319
1.271   1.285
1.333   1.242
1.395   1.193
1.457   1.159
1.519   1.120
1.597   1.076
1.659   1.030
1.721   0.980
1.798   0.917
1.876   0.857
1.984   0.791
2.093   0.738
2.217   0.681
2.341   0.622
2.434   0.585
2.558   0.535
2.698   0.485
2.822   0.436
2.946   0.393
3.132   0.369
3.302   0.349
3.473   0.326
3.643   0.320
3.845   0.303
3.969   0.280
4.155   0.260
4.326   0.240
4.558   0.203
4.775   0.190
4.977   0.173
5.209   0.163
5.411   0.140
5.628   0.110
5.845   0.104
6.109   0.097
6.403   0.087
6.651   0.077
6.868   0.067
7.054   0.067
7.256   0.047
7.457   0.044
7.659   0.034
7.860   0.024
8.062   0.021
8.233   0.014
8.372   0.014






